,trial,hole
0,1,2
1,2,2
2,3,1
3,4,2
4,5,1
5,6,0
6,7,2
7,8,0
8,9,0
9,10,2
10,11,2
11,12,0
12,13,0
13,14,2
14,15,0
15,16,1
16,17,0
17,18,1
18,19,0
19,20,0
20,21,1
21,22,1
22,23,2
23,24,2
24,25,1
25,26,2
26,27,2
27,28,1
28,29,0
29,30,1
30,31,0
31,32,2
32,33,1
33,34,0
34,35,0
35,36,2
36,37,1
37,38,2
38,39,0
39,40,0
40,41,2
41,42,2
42,43,0
43,44,2
44,45,0
45,46,1
46,47,2
47,48,0
48,49,2
49,50,1
50,51,0
51,52,2
52,53,1
53,54,2
54,55,2
55,56,1
56,57,2
57,58,2
58,59,2
59,60,2
60,61,2
61,62,2
62,63,1
63,64,1
64,65,0
65,66,1
66,67,0
67,68,1
68,69,1
69,70,0
70,71,1
71,72,0
72,73,2
73,74,2
74,75,0
75,76,0
76,77,1
77,78,1
78,79,2
79,80,0
80,81,2
81,82,1
82,84,0
83,85,0
84,86,2
85,90,2
86,91,1
87,93,1
88,94,1
89,97,0
90,98,2
91,99,2
92,100,2
93,102,0
94,103,0
95,106,2
96,107,0
97,109,2
98,111,0
99,112,2
100,113,1
101,114,0
102,115,2
103,118,2
104,121,0
105,122,2
106,123,2
107,126,2
108,127,2
109,129,0
110,132,0
111,133,0
112,139,1
113,140,1
114,142,1
115,143,2
116,144,0
117,145,2
118,148,0
119,149,1
120,154,2
121,156,2
122,158,2
123,163,0
124,166,2
125,170,2
126,173,2
127,179,0
128,183,2
129,186,0
130,190,2
131,192,0
132,196,2
133,207,0
134,210,0
135,214,0
136,215,0
137,223,0
138,254,0
139,283,0
140,289,0
141,297,0
142,302,0
143,306,2
144,307,0
145,316,2
146,319,0
147,326,0
148,332,0
149,380,2
